,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
5,5,5,0.7333333333333333,2023-05-31 01:08:59.762178,2023-05-31 01:09:01.382507,0 days 00:00:01.620329,0.7403703425145455,0.4245795337791351,3,7,0.09222503258848,0.1867004826651602,40,127,COMPLETE
6,6,6,0.6444444444444445,2023-05-31 01:09:01.382880,2023-05-31 01:09:05.303965,0 days 00:00:03.921085,0.2283061815989002,0.5317564760911486,3,13,0.0515613973242286,0.2879669038324123,50,149,COMPLETE
7,7,7,0.9111111111111112,2023-05-31 01:09:05.304332,2023-05-31 01:09:09.430965,0 days 00:00:04.126633,0.4337416441128153,0.5132532651389122,4,15,0.0386419142189292,0.2177089185683684,40,129,COMPLETE
8,8,8,0.6888888888888889,2023-05-31 01:09:09.431649,2023-05-31 01:09:13.116031,0 days 00:00:03.684382,0.7470219456927691,0.6869555304957278,5,5,0.0643000648670967,0.2191696936184306,40,178,COMPLETE
9,9,9,0.7111111111111111,2023-05-31 01:09:13.116402,2023-05-31 01:09:16.230802,0 days 00:00:03.114400,0.2353265697067715,0.4157490225592636,3,10,0.0325428670332301,0.3435831250049138,40,126,COMPLETE
10,10,10,0.8,2023-05-31 01:09:16.231174,2023-05-31 01:09:20.683916,0 days 00:00:04.452742,0.5239702110757378,0.4726214512720652,4,15,0.0263730801195259,0.1511949706923628,40,138,COMPLETE
11,11,11,0.8222222222222222,2023-05-31 01:09:20.684302,2023-05-31 01:09:24.783239,0 days 00:00:04.098937,0.3844179169289165,0.5912525289824802,4,10,0.0989488015492939,0.2959478450715138,50,147,COMPLETE
12,12,12,0.7777777777777778,2023-05-31 01:09:24.783675,2023-05-31 01:09:28.894437,0 days 00:00:04.110762,0.4338583209798889,0.6171457597441339,4,9,0.0998371911437211,0.2416472263121278,50,139,COMPLETE
13,13,13,0.6222222222222222,2023-05-31 01:09:28.894824,2023-05-31 01:09:34.361063,0 days 00:00:05.466239,0.1132869692528442,0.6182013665884498,4,15,0.0511574470728692,0.2876525069659307,50,120,COMPLETE
14,14,14,0.8222222222222222,2023-05-31 01:09:34.361439,2023-05-31 01:09:38.373668,0 days 00:00:04.012229,0.5011302705420736,0.4818591132808641,4,9,0.0483375943751964,0.208354403178118,60,162,COMPLETE
15,15,15,0.8,2023-05-31 01:09:38.374054,2023-05-31 01:09:45.112611,0 days 00:00:06.738557,0.3724804830817567,0.5986672268681993,5,13,0.0833864322435919,0.2500097410660643,40,140,COMPLETE
16,16,16,0.7333333333333333,2023-05-31 01:09:45.112993,2023-05-31 01:09:51.441716,0 days 00:00:06.328723,0.5661747606771732,0.6434091672384421,4,9,0.0402116186228069,0.2716247589435897,50,163,COMPLETE
17,17,17,0.8,2023-05-31 01:09:51.442103,2023-05-31 01:09:55.029975,0 days 00:00:03.587872,0.5902589664716184,0.5750993780306917,3,13,0.0987380140692227,0.1979511029783608,50,156,COMPLETE
18,18,18,0.8222222222222222,2023-05-31 01:09:55.030363,2023-05-31 01:10:01.509725,0 days 00:00:06.479362,0.4420276746620775,0.6499275356327747,4,11,0.0567160380801788,0.2269791574878708,40,135,COMPLETE
19,19,19,0.8222222222222222,2023-05-31 01:10:01.510104,2023-05-31 01:10:10.590929,0 days 00:00:09.080825,0.3744781537292128,0.516545870388613,5,14,0.0403734013394644,0.2477353303312972,60,146,COMPLETE
0,0,0,0.7777777777777778,2023-05-31 01:22:46.365716,2023-05-31 01:22:53.905216,0 days 00:00:07.539500,0.5855594042844406,0.5099780083391633,5,13,0.0896836141324592,0.3296976353984953,40,153,COMPLETE
1,1,1,0.7555555555555555,2023-05-31 01:22:53.905633,2023-05-31 01:22:56.727428,0 days 00:00:02.821795,0.6794272029406458,0.4407316750514152,3,7,0.0316169833180516,0.2545524624965663,40,173,COMPLETE
2,2,2,0.8,2023-05-31 01:22:56.727784,2023-05-31 01:22:59.720177,0 days 00:00:02.992393,0.3306156234636854,0.3073291583551128,5,10,0.0502505511397454,0.1529055442162178,40,165,COMPLETE
3,3,3,0.7555555555555555,2023-05-31 01:22:59.720542,2023-05-31 01:23:02.516218,0 days 00:00:02.795676,0.6714320570796434,0.4421535024791298,3,8,0.0967182298030066,0.2784150985314468,60,165,COMPLETE
4,4,4,0.6666666666666666,2023-05-31 01:23:02.516583,2023-05-31 01:23:04.616830,0 days 00:00:02.100247,0.4034586538175465,0.5232441156567461,3,7,0.0476470687272455,0.2326760943222029,40,146,COMPLETE
5,5,5,0.7111111111111111,2023-05-31 01:23:04.617195,2023-05-31 01:23:06.286541,0 days 00:00:01.669346,0.1094435365738175,0.419060961153513,5,5,0.0685952740797499,0.2463916561281033,50,126,COMPLETE
6,6,6,0.8222222222222222,2023-05-31 01:23:06.286913,2023-05-31 01:23:12.130995,0 days 00:00:05.844082,0.6664907759390004,0.6891220088310355,4,11,0.0623074001559982,0.1727973607906199,40,150,COMPLETE
7,7,7,0.7333333333333333,2023-05-31 01:23:12.131534,2023-05-31 01:23:15.363074,0 days 00:00:03.231540,0.6412791974569714,0.5555176750847781,3,10,0.0880722393286521,0.3328669035372289,50,163,COMPLETE
8,8,8,0.7333333333333333,2023-05-31 01:23:15.363456,2023-05-31 01:23:17.186060,0 days 00:00:01.822604,0.1441237962441506,0.6697405720381688,3,8,0.0604129525154553,0.1774642792193891,40,163,COMPLETE
9,9,9,0.7111111111111111,2023-05-31 01:23:17.186423,2023-05-31 01:23:19.957700,0 days 00:00:02.771277,0.1358027429617031,0.6045632894213785,5,7,0.0744839407128484,0.2460320369571847,60,141,COMPLETE
10,10,10,0.8666666666666667,2023-05-31 01:23:19.958078,2023-05-31 01:23:26.287760,0 days 00:00:06.329682,0.7938427941380022,0.6251857279123937,4,15,0.0263445728723036,0.1929602579930196,50,130,COMPLETE
11,11,11,0.7777777777777778,2023-05-31 01:23:26.288140,2023-05-31 01:23:34.688852,0 days 00:00:08.400712,0.792668911066523,0.6892212401876366,4,15,0.0275375360914194,0.1962345022495762,50,123,COMPLETE
12,12,12,0.8666666666666667,2023-05-31 01:23:34.689235,2023-05-31 01:23:39.299648,0 days 00:00:04.610413,0.7655386747177046,0.6414660759786308,4,13,0.0400230294678638,0.1922488868315483,50,135,COMPLETE
13,13,13,0.7777777777777778,2023-05-31 01:23:39.300019,2023-05-31 01:23:46.440809,0 days 00:00:07.140790,0.7935433969249853,0.6092341984411819,4,15,0.036566533019664,0.1993552108952277,50,133,COMPLETE
14,14,14,0.8444444444444444,2023-05-31 01:23:46.441187,2023-05-31 01:23:51.901795,0 days 00:00:05.460608,0.7994966878960211,0.638932018278912,4,13,0.0259687243971834,0.1514368923694517,50,135,COMPLETE
15,15,15,0.7555555555555555,2023-05-31 01:23:51.902177,2023-05-31 01:23:58.560226,0 days 00:00:06.658049,0.5247265328374734,0.5958703035750176,4,13,0.0399525710056821,0.2117842837482539,50,130,COMPLETE
16,16,16,0.8666666666666667,2023-05-31 01:23:58.560608,2023-05-31 01:24:04.442213,0 days 00:00:05.881605,0.7153882409153495,0.6307240293046518,4,14,0.0398363744724367,0.2112855615321675,50,121,COMPLETE
17,17,17,0.8222222222222222,2023-05-31 01:24:04.442596,2023-05-31 01:24:09.567017,0 days 00:00:05.124421,0.5559885983146795,0.5696444440885624,4,12,0.0250293962631118,0.1790838226941642,60,139,COMPLETE
18,18,18,0.8,2023-05-31 01:24:09.567402,2023-05-31 01:24:16.865589,0 days 00:00:07.298187,0.73936679104601,0.6506318707649094,4,15,0.0344536480812779,0.2214531315572669,50,143,COMPLETE
19,19,19,0.7777777777777778,2023-05-31 01:24:16.865971,2023-05-31 01:24:21.875787,0 days 00:00:05.009816,0.7339977282372943,0.6618940883427678,5,12,0.0455221337130698,0.1955694004669487,50,129,COMPLETE
0,0,0,0.7608695652173914,2023-05-31 01:34:50.176160,2023-05-31 01:34:54.777491,0 days 00:00:04.601331,0.1110026218512537,0.3247626026480056,5,13,0.0451600672776882,0.346121668857685,60,170,COMPLETE
1,1,1,0.717391304347826,2023-05-31 01:34:54.777868,2023-05-31 01:34:57.643546,0 days 00:00:02.865678,0.5356159021052751,0.4772771036780286,4,5,0.0314445598755234,0.1948673114993609,40,177,COMPLETE
2,2,2,0.8478260869565217,2023-05-31 01:34:57.643944,2023-05-31 01:35:04.664503,0 days 00:00:07.020559,0.5143838928087302,0.6076087121288529,4,14,0.0849839360477441,0.2585205721939229,60,180,COMPLETE
3,3,3,0.8695652173913043,2023-05-31 01:35:04.664873,2023-05-31 01:35:10.592268,0 days 00:00:05.927395,0.6931764067478666,0.574804587259287,4,15,0.0536115458501706,0.3103784916493546,40,133,COMPLETE
4,4,4,0.782608695652174,2023-05-31 01:35:10.592642,2023-05-31 01:35:14.543620,0 days 00:00:03.950978,0.7677806956702613,0.5135614750079427,5,10,0.0607371956879608,0.2163478740762899,50,143,COMPLETE
5,5,5,0.7391304347826086,2023-05-31 01:35:14.544001,2023-05-31 01:35:16.590226,0 days 00:00:02.046225,0.7494902941986947,0.3907933413302857,5,9,0.0670299496443593,0.1917775088544535,50,125,COMPLETE
6,6,6,0.8260869565217391,2023-05-31 01:35:16.590598,2023-05-31 01:35:22.254571,0 days 00:00:05.663973,0.2350385211674953,0.6102464759642869,5,12,0.0581978919778132,0.28676365957446,50,136,COMPLETE
7,7,7,0.8260869565217391,2023-05-31 01:35:22.254956,2023-05-31 01:35:24.793905,0 days 00:00:02.538949,0.4342283497854721,0.4892847572960523,4,12,0.0698930616011442,0.197470756648743,40,135,COMPLETE
8,8,8,0.6739130434782609,2023-05-31 01:35:24.794283,2023-05-31 01:35:27.663128,0 days 00:00:02.868845,0.7509240970170213,0.3604255919584379,4,5,0.0837319145387173,0.2444431903029937,60,175,COMPLETE
9,9,9,0.8478260869565217,2023-05-31 01:35:27.663566,2023-05-31 01:35:34.846110,0 days 00:00:07.182544,0.6300560425208855,0.6440711067126184,4,11,0.0522497974297114,0.3393569598966498,60,149,COMPLETE
10,10,10,0.8478260869565217,2023-05-31 01:35:34.846532,2023-05-31 01:35:42.311164,0 days 00:00:07.464632,0.6213170411631455,0.6996786513838864,3,15,0.0982840643140455,0.1534984839726389,40,161,COMPLETE
11,11,11,0.8913043478260869,2023-05-31 01:35:42.311565,2023-05-31 01:35:46.390813,0 days 00:00:04.079248,0.4319184868788171,0.5822979262485137,3,15,0.0799037965598673,0.2841100516609174,40,120,COMPLETE
12,12,12,0.8913043478260869,2023-05-31 01:35:46.391198,2023-05-31 01:35:51.120508,0 days 00:00:04.729310,0.3850182941012351,0.5555782164758161,3,15,0.0393274948395716,0.3044511904454682,40,120,COMPLETE
13,13,13,0.6956521739130435,2023-05-31 01:35:51.120908,2023-05-31 01:35:54.250964,0 days 00:00:03.130056,0.4058984706658596,0.5440082692259871,3,8,0.0252905670479249,0.3021119745357907,40,121,COMPLETE
14,14,14,0.7391304347826086,2023-05-31 01:35:54.251362,2023-05-31 01:35:57.350886,0 days 00:00:03.099524,0.3595952647502455,0.5566103655941218,3,14,0.0430397855157639,0.2784488669213655,40,127,COMPLETE
15,15,15,0.8695652173913043,2023-05-31 01:35:57.351276,2023-05-31 01:36:00.947068,0 days 00:00:03.595792,0.3436099290419975,0.456290273969845,3,15,0.0372575588716761,0.319168792556254,40,121,COMPLETE
16,16,16,0.8260869565217391,2023-05-31 01:36:00.947486,2023-05-31 01:36:04.279658,0 days 00:00:03.332172,0.2978671047600092,0.4378063256730721,3,13,0.074227164484428,0.2742295317223056,40,160,COMPLETE
17,17,17,0.8043478260869565,2023-05-31 01:36:04.280040,2023-05-31 01:36:07.133555,0 days 00:00:02.853515,0.4866772914494097,0.5203630868289815,3,7,0.0461399489216705,0.3232829581357928,40,130,COMPLETE
18,18,18,0.8260869565217391,2023-05-31 01:36:07.133935,2023-05-31 01:36:12.359577,0 days 00:00:05.225642,0.432481884850293,0.5932730965665356,3,13,0.0372994279499195,0.2975501646141616,40,144,COMPLETE
19,19,19,0.8043478260869565,2023-05-31 01:36:12.359971,2023-05-31 01:36:15.692533,0 days 00:00:03.332562,0.5610682026734501,0.537402540741824,3,11,0.0639940030321824,0.2588923839746564,50,140,COMPLETE
0,0,0,0.7555555555555555,2023-05-31 01:47:41.201843,2023-05-31 01:47:48.317030,0 days 00:00:07.115187,0.5974110492221973,0.483393650450089,3,15,0.0474583370857307,0.2980197895951927,50,170,COMPLETE
1,1,1,0.8222222222222222,2023-05-31 01:47:48.317403,2023-05-31 01:47:53.480467,0 days 00:00:05.163064,0.7483364849272623,0.4320290186399897,4,14,0.0487976120884001,0.3430717814378496,60,149,COMPLETE
2,2,2,0.6444444444444445,2023-05-31 01:47:53.480856,2023-05-31 01:47:56.413122,0 days 00:00:02.932266,0.7910658873460045,0.6220767702967614,5,5,0.0862094544755658,0.2438937465206443,50,135,COMPLETE
3,3,3,0.8222222222222222,2023-05-31 01:47:56.413493,2023-05-31 01:48:01.808751,0 days 00:00:05.395258,0.2760827180870537,0.4537444700089506,5,13,0.0962850475426238,0.2066456019316087,40,180,COMPLETE
4,4,4,0.7333333333333333,2023-05-31 01:48:01.809132,2023-05-31 01:48:04.442109,0 days 00:00:02.632977,0.7156672434620778,0.4121400514545803,5,8,0.067207257747669,0.3381124180429958,60,136,COMPLETE
5,5,5,0.6444444444444445,2023-05-31 01:48:04.442482,2023-05-31 01:48:07.878551,0 days 00:00:03.436069,0.6114115087557562,0.4795132459813835,5,9,0.0642960869927132,0.2509386495039116,40,140,COMPLETE
6,6,6,0.8444444444444444,2023-05-31 01:48:07.878921,2023-05-31 01:48:13.283252,0 days 00:00:05.404331,0.4696507832084436,0.6235672101025893,3,15,0.0699200096992087,0.1883971854065008,60,128,COMPLETE
7,7,7,0.7777777777777778,2023-05-31 01:48:13.283691,2023-05-31 01:48:16.908794,0 days 00:00:03.625103,0.5736194954974478,0.3638445536708071,3,13,0.0662152475618016,0.3056266564614062,40,163,COMPLETE
8,8,8,0.7333333333333333,2023-05-31 01:48:16.909169,2023-05-31 01:48:19.225769,0 days 00:00:02.316600,0.3277099316077025,0.3841772545647957,3,8,0.0599087394274992,0.1919190913974144,40,137,COMPLETE
9,9,9,0.7111111111111111,2023-05-31 01:48:19.226150,2023-05-31 01:48:20.964080,0 days 00:00:01.737930,0.1859794785442553,0.3806458833813912,3,6,0.0655867650565507,0.3370844769863415,40,155,COMPLETE
10,10,10,0.7777777777777778,2023-05-31 01:48:20.964450,2023-05-31 01:48:28.233717,0 days 00:00:07.269267,0.4460077171769456,0.697888581902489,4,11,0.0282557067754942,0.151447932944347,60,126,COMPLETE
11,11,11,0.8222222222222222,2023-05-31 01:48:28.234097,2023-05-31 01:48:33.586459,0 days 00:00:05.352362,0.4487441950786879,0.5607856860812903,4,15,0.0447383321527835,0.2714721956692612,60,122,COMPLETE
12,12,12,0.7111111111111111,2023-05-31 01:48:33.586827,2023-05-31 01:48:35.929611,0 days 00:00:02.342784,0.7271983314764663,0.3062865239844898,4,13,0.0805681605263383,0.3490376447849908,60,147,COMPLETE
13,13,13,0.8444444444444444,2023-05-31 01:48:35.930002,2023-05-31 01:48:39.301638,0 days 00:00:03.371636,0.1220683296639032,0.5731724563605147,4,11,0.0509383337591996,0.2170053943171541,60,151,COMPLETE
14,14,14,0.7777777777777778,2023-05-31 01:48:39.302012,2023-05-31 01:48:42.166704,0 days 00:00:02.864692,0.1454014621714882,0.5520333840731751,3,11,0.0789271875152468,0.2037966401085394,60,158,COMPLETE
15,15,15,0.6444444444444445,2023-05-31 01:48:42.167092,2023-05-31 01:48:46.403731,0 days 00:00:04.236639,0.3537929063110633,0.6101189405720905,4,12,0.0549977751931829,0.1776711153041121,60,128,COMPLETE
16,16,16,0.8,2023-05-31 01:48:46.404109,2023-05-31 01:48:49.665946,0 days 00:00:03.261837,0.1200240591510828,0.5277700285884936,3,10,0.0366030919079159,0.2266909094680905,50,144,COMPLETE
17,17,17,0.7777777777777778,2023-05-31 01:48:49.666331,2023-05-31 01:48:54.026457,0 days 00:00:04.360126,0.2179696932179613,0.603970356196304,4,7,0.0734529199291214,0.1684272286839087,60,167,COMPLETE
18,18,18,0.8444444444444444,2023-05-31 01:48:54.026840,2023-05-31 01:49:00.101302,0 days 00:00:06.074462,0.2356959168797088,0.6762727013885949,3,10,0.0534800796596958,0.2215914012842142,60,157,COMPLETE
19,19,19,0.8,2023-05-31 01:49:00.101717,2023-05-31 01:49:04.645830,0 days 00:00:04.544113,0.3808559611785073,0.5192671949764001,4,12,0.0405439031373976,0.182564864326665,60,130,COMPLETE
0,0,0,0.8888888888888888,2023-05-30 20:18:44.113294,2023-05-30 20:18:46.719650,0 days 00:00:02.606356,0.6208928065901567,0.5661335206168971,3,7,0.0875930175819679,0.1938609562653221,40,152,COMPLETE
1,1,1,0.8888888888888888,2023-05-30 20:18:46.720035,2023-05-30 20:18:49.331960,0 days 00:00:02.611925,0.2439364733748915,0.3278418955172584,4,8,0.0628333420653964,0.2406228388798233,60,172,COMPLETE
2,2,2,0.8666666666666667,2023-05-30 20:18:49.332340,2023-05-30 20:18:53.559279,0 days 00:00:04.226939,0.6037342308054384,0.6783018994583337,3,5,0.0332629198464509,0.2983981346721809,60,179,COMPLETE
