Feature            Score (R^2) Left    Score (R^2) Right    Mean-Mean left    Var-Mean left    Mean-Mean right    Var-Mean right    Mean-Var left    Var-Var left    Mean-Var right    Var-Var right
E8_SLOPE                0.000108757          0.0275968         0.0490371          0.054015         0.0461773          0.0825352         0.869273       0.218791            0.89988          0.241961
E8_INTERCEPT            0.00761887           0.0530776         0.046418           0.0548456        0.044824           0.0830519         0.867041       0.218609            0.898405         0.241973
E8_MEAN_FREQ            0.000863652          0.0211803         0.0440593          0.0554837        0.0426296          0.0836337         0.865014       0.218282            0.896695         0.241686
E8_OCC_BAND             0.0145018            0.043573          0.0418849          0.0560044        0.041278           0.0842378         0.863344       0.217842            0.896492         0.241308
E8_POWER_BAND           0.0115746            0.00237375        0.0398161          0.0564488        0.0389374          0.0850408         0.862019       0.217444            0.895196         0.241071
E8_WLT_ENT              0.0045149            2.04676e-06       0.0396796          0.0562749        0.0389208          0.0847642         0.86244        0.218904            0.895543         0.242158
E8_KURT                 0.000816211          0.0139772         0.0395175          0.0560399        0.0388556          0.0845389         0.862394       0.219795            0.896343         0.24495
E8_SKEW                 0.00103721           0.0250027         0.0407823          0.0563068        0.0395442          0.0846898         0.86044        0.223129            0.894824         0.24662
E8_VAR                  0.00313955           0.00178412        0.0413367          0.0561736        0.0403867          0.0845972         0.859919       0.222838            0.894433         0.247371
E8_STD                  0.000595084          0.00281134        0.04118            0.0559842        0.0412292          0.084338          0.861153       0.223606            0.892875         0.247017
E8_LOG_ENE_ENT          0.00204113           1.33677e-05       0.0415194          0.0558376        0.0420139          0.0841675         0.86115        0.22323             0.892156         0.246567
E9_BP_ALPHA             0.00275361           0.0174718         0.0422103          0.0557886        0.0434039          0.0841856         0.860091       0.223283            0.889923         0.246907
E9_BP_BETA              0.00212989           0.0340735         0.0439057          0.0559874        0.0439598          0.084359          0.855882       0.224976            0.889306         0.249514
E9_BP_GAMMA             0.000593236          0.0167256         0.0454924          0.0561389        0.0451263          0.0843657         0.852232       0.22628             0.887674         0.251023
E9_BP_DELTA             0.00545117           0.0222914         0.0468864          0.0562247        0.045146           0.0845392         0.848885       0.22856             0.889056         0.254797
E9_BP_THETA             0.0172444            5.36232e-05       0.0481257          0.0562971        0.0463641          0.0846239         0.845722       0.229384            0.88844          0.257079
E9_RTP                  0.00150932           0.00170595        0.0482368          0.056133         0.046015           0.0842773         0.847483       0.230301            0.887647         0.256874
E9_SPEC_MOM             0.00427142           0.0105566         0.0477206          0.0560946        0.0460317          0.0838931         0.846715       0.230234            0.886867         0.256283
E9_SPEC_EDGE            0.000203795          3.07458e-08       0.0480052          0.0559438        0.0448966          0.0837535         0.84919        0.232074            0.885252         0.255968
E9_SPEC_ENT             0.00787796           0.00132779        0.0478197          0.0558703        0.0441704          0.0835614         0.84942        0.231261            0.885353         0.255405
E9_SLOPE                0.000164568          9.72295e-05       0.0475113          0.0556909        0.0441483          0.083337          0.849556       0.23056             0.88563          0.254983
E9_INTERCEPT            0.000295831          7.4987e-05        0.0479405          0.0555087        0.0435638          0.0831638         0.851129       0.230505            0.885094         0.254538
E9_MEAN_FREQ            8.49925e-08          0.00162295        0.0480556          0.0554001        0.0427169          0.0831491         0.851544       0.229798            0.885093         0.254028
E9_OCC_BAND             0.000649038          1.55303e-09       0.0483734          0.0552794        0.041847           0.0829039         0.853994       0.232093            0.884176         0.253636
E9_POWER_BAND           7.78932e-05          0.00105043        0.0485471          0.0551222        0.0410016          0.0827275         0.854708       0.232076            0.883674         0.253571
E9_WLT_ENT              4.66062e-05          0.000173108       0.0487008          0.054955         0.040405           0.0824397         0.855934       0.23333             0.883687         0.253365
E9_KURT                 0.00617283           0.0115907         0.0482835          0.0548791        0.0401486          0.0822144         0.855558       0.23355             0.884266         0.253822
E9_SKEW                 0.00534187           3.36893e-06       0.048055           0.0549262        0.0396459          0.0819707         0.856698       0.233109            0.884169         0.253019
E9_VAR                  0.000166248          0.000886159       0.0477631          0.054706         0.0391325          0.0816633         0.85703        0.232551            0.884297         0.2521
E9_STD                  0.0047359            0.018167          0.0474211          0.0547329        0.0406696          0.0818353         0.857272       0.231769            0.883749         0.251358
E9_LOG_ENE_ENT          0.00230756           0.00172877        0.0473712          0.0547158        0.0412006          0.0816589         0.857618       0.230808            0.88357          0.25032
E10_BP_ALPHA            0.000145166          0.00129924        0.0476037          0.0547188        0.0412344          0.0813976         0.858153       0.229871            0.883421         0.249368
E10_BP_BETA             0.000145784          0.000411032       0.0474548          0.0546371        0.0415153          0.0811602         0.859231       0.229124            0.882951         0.24862
E10_BP_GAMMA            0.000464324          0.00657091        0.0474018          0.0545486        0.0425112          0.0811559         0.85935        0.228329            0.882923         0.247885
E10_BP_DELTA            0.0117338            0.0165658         0.0470314          0.0547107        0.0434423          0.0811449         0.859733       0.227942            0.882459         0.247218
E10_BP_THETA            0.0214118            0.0299523         0.0469855          0.0549178        0.0440173          0.0810387         0.85997        0.227349            0.881864         0.246496
E10_RTP                 0.00353229           0.0057193         0.0463637          0.0549962        0.045247           0.0810715         0.859965       0.226686            0.881883         0.245992
E10_SPEC_MOM            0.0177437            0.0106143         0.04629            0.0549836        0.0459152          0.0810181         0.85965        0.226404            0.882204         0.245371
E10_SPEC_EDGE           0.00385358           1.06896e-05       0.0459355          0.0548643        0.0454505          0.0808592         0.85995        0.227187            0.882569         0.246025
E10_SPEC_ENT            0.000694824          0.0134818         0.0456065          0.0546822        0.0450247          0.0807191         0.859903       0.227586            0.883381         0.248057
E10_SLOPE               0.000956589          0.0253208         0.0440901          0.055147         0.0439917          0.0810083         0.858339       0.230203            0.88212          0.249202
E10_INTERCEPT           0.00279432           0.00208635        0.0431855          0.055165         0.0428059          0.0811233         0.858066       0.229891            0.881726         0.249428
E10_MEAN_FREQ           0.000710269          0.00325361        0.0428696          0.0550299        0.0416482          0.0810948         0.859137       0.230346            0.880585         0.248992
E10_OCC_BAND            0.00166092           3.7632e-05        0.0421231          0.0550096        0.0405455          0.0811299         0.859163       0.229927            0.880096         0.24853
E10_POWER_BAND          0.00204267           0.0174251         0.0410923          0.0551251        0.0389543          0.0813965         0.858376       0.22989             0.878356         0.248624
E10_WLT_ENT             0.00202244           0.0370274         0.0392202          0.0555881        0.0380503          0.0816737         0.854941       0.231176            0.877774         0.250466
E10_KURT                0.000603254          0.0178958         0.0374461          0.0559905        0.0366369          0.0818995         0.851962       0.232157            0.876416         0.251449
E10_SKEW                0.00580322           0.0246339         0.035817           0.0563164        0.0361524          0.0821138         0.849195       0.233654            0.877464         0.254092
E10_VAR                 0.0188405            3.96408e-05       0.0343618          0.0566012        0.0346333          0.0824332         0.846717       0.234222            0.876792         0.25562
E10_STD                 0.00174296           0.000279199       0.0340523          0.0564528        0.0341616          0.0822681         0.84694        0.233991            0.877282         0.255486
E10_LOG_ENE_ENT         0.0012855            0.0121793         0.0338282          0.056243         0.0337215          0.0820782         0.84701        0.233467            0.878176         0.256004
E11_BP_ALPHA            0.00145854           0.0256666         0.0323191          0.0566924        0.0326761          0.082401          0.845652       0.234846            0.877131         0.256346
